*****************************************************,,,,,,,,,,,,,,,,,,,,,
CtApAMP PID: 323619,,,,,,,,,,,,,,,,,,,,,
"    CtApAMP PID: 323619 TID: 4;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    CtApAMP PID: 323619 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RCtApAMPMain20ms PID: 323619 TID: 2;0,2718;0,6047;0,4199;315;1,087;2,419;1,68;315;0;0;0;315;0;0;0;315;0;0;0;315;60000;109800;76154;789;60000;132000;79714;789;110200;362000;177382;789;198400;435600;257096;789;19545200;19843000;19742892;788;0;277200;81830;3241;19354400;19731000;19617505;788;19914400;20078000;19999963;788;19792200;20142200;19999990;788;6800;220600;26787;789;70,241;98,736;97,999;315;0,07;0,52;0,"134;315;""n/a""",,,,,,,,,
"    vComDef0-0 PID: 323619 TID: 5;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    vComResp0-0 PID: 323619 TID: 6;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    vLogApiReactor PID: 323619 TID: 3;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
CtApComASILB_PH00 PID: 409663,,,,,,,,,,,,,,,,,,,,,
"    CtApComASILB_PH00 PID: 409663 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RComASILB_PH00_RX_0 PID: 409663 TID: 2;2,502;4,037;3,3967;315;0;0;0;315;10,008;16,148;13,587;315;0;0;0;315;0;0;0;315;192000;2077600;682090;2657;192000;12103000;2217789;2657;26200;164600;78281;2657;226400;12211800;2296070;2657;106000;9815200;3641506;2656;0;1407600;168286;12743;31600;6544000;3444147;2656;3336600;15083800;5937484;2656;3380600;15079400;5937493;2656;8600;92800;32228;2657;37,169;69,681;57,981;315;16,696;49,998;28,"299;315;""n/a""",,,,,,,,,
    RComASILB_PH00_TX_0 PID: 409663 TID: 3;0,204;0,4371;0,3077;315;0;0;0;315;0,816;1,748;1,231;315;0;0;0;315;0;0;0;315;20000;127200;36286;1578;20000;127200;36286;1578;25800;182400;57692;1578;47600;218600;93979;1578;8193000;11721000;9905986;1577;2200;258000;121031;1605;4963600;11669600;9838190;1577;8266800;11784600;9999961;1577;8264000;11814600;9999950;1577;7000;85200;21418;1578;82,574;99,058;98,349;315;0,098;10,81;0,"386;315;""n/a""",,,,,,,,,
CtApComQM_PH00 PID: 401467,,,,,,,,,,,,,,,,,,,,,
"    CtApComQM_PH00 PID: 401467 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RComQM_PH00_RX_0 PID: 401467 TID: 2;8,2477;10,2567;8,9295;315;0;0;0;315;32,991;41,027;35,718;315;0;0;0;315;0;0;0;315;786600;7116200;2927183;1774;1763400;14959000;5392263;1774;19400;126000;62265;1774;1798800;15025600;5454528;1774;243800;6222200;3440157;1773;0;1775400;167734;33603;12000;5002600;294704;29190;4951400;19979600;8894527;1773;4904000;19988400;8894520;1773;0;857600;24773;29191;48,985;59,018;54,536;315;5,427;13,845;9,"679;315;""n/a""",,,,,,,,,
    RComQM_PH00_TX_0 PID: 401467 TID: 3;0,5308;1,0522;0,723;315;0;0;0;315;2,123;4,209;2,892;315;0;0;0;315;0;0;0;315;89000;529200;195780;1577;89000;9959800;1106506;1577;34400;148600;77038;1577;127600;10057200;1183544;1577;1071800;11570000;8822238;1576;600;486000;146617;3114;17400;11509800;6090788;2343;8279200;19956200;10006226;1576;8306800;19929600;10006217;1576;0;2382400;67627;2344;72,542;97,741;90,471;315;0,107;20,072;6,"598;315;""n/a""",,,,,,,,,
CtApDiagProxy_PH00 PID: 323632,,,,,,,,,,,,,,,,,,,,,
"    CtApDiagProxy_PH00 PID: 323632 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RCtApDiagProxy_PHMain PID: 323632 TID: 2;0,5279;0,7016;0,6181;315;0;0;0;315;0;0;0;315;2,112;2,806;2,472;315;0;0;0;315;87200;156400;105460;1578;87200;156400;105460;1578;56800;591400;92740;1578;145200;692400;198200;1578;8552200;11083400;9801007;1577;174400;352000;247226;1578;8467200;11031400;9728985;1577;8764200;11249400;9999210;1577;8745800;11264200;9999209;1577;6600;489800;22998;1578;89,794;97,686;97,274;315;0,127;1,134;0,"23;315;""n/a""",,,,,,,,,
CtApEcuSM_Slave PID: 323634,,,,,,,,,,,,,,,,,,,,,
    CtApEcuSM_S_Main_10ms PID: 323634 TID: 2;0,7595;0,9226;0,8155;315;0;0;0;315;0;0;0;315;3,038;3,69;3,262;315;0;0;0;315;147600;230200;180828;1578;147600;484200;181010;1578;58800;422200;87114;1578;221200;906400;268124;1578;8371000;10995000;9731127;1577;4200;417800;324566;1586;7948800;10930200;9651787;1577;8757200;11246000;9999241;1577;8662600;11370000;9999225;1577;6400;345200;20416;1578;91,596;96,84;96,509;315;0,084;1,448;0,"213;315;""n/a""",,,,,,,,,
"    CtApEcuSM_Slave PID: 323634 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
CtApFPMHandler PID: 323623,,,,,,,,,,,,,,,,,,,,,
